BPLR_Name,BlurType,Laplacian Variance, FFT_Mean, FFT_Freq, ImageFileNumber, Imagetype
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3463.46380101],72.0259301910983,3.8485477178423237,170,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3456.29013606],72.02542217644398,3.558091286307054,171,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3460.10955446],72.03337068962125,3.558091286307054,172,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3450.7821838],72.02389189523267,3.578838174273859,173,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3453.47255351],72.03636601813723,3.558091286307054,174,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3454.13011026],72.0377357736954,3.558091286307054,175,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3452.50519971],72.02377110248672,3.578838174273859,176,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3447.21512145],72.02824326176935,3.558091286307054,177,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3452.80339424],72.02849724827692,3.641078838174274,178,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3455.34040066],72.02937819576412,3.558091286307054,179,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3324.31278556],72.05771989800468,2.873443983402489,18,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not sure bruh!,[3452.16861753],72.03458630389528,3.558091286307054,180,Tester_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6365.45209245],67.54550806068168,0.22821576763485477,181,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6354.68150558],67.55082000949555,0.22821576763485477,182,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6370.50063278],67.53955478541864,0.22821576763485477,183,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6354.41510001],67.54869273786298,0.22821576763485477,184,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6365.10412669],67.53304969784232,0.22821576763485477,185,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6355.26049454],67.54522218841214,0.22821576763485477,186,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6351.64006611],67.53493158820224,0.22821576763485477,187,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6349.2711534],67.53576263075378,0.22821576763485477,188,Sharper_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6357.31984005],67.53454168348557,0.22821576763485477,189,Sharper_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3322.14935083],72.0564229125626,3.1016597510373445,19,Tester_Image
R2_NON_BLUR_LENS__Sharper_Image,Not-Blurry,[6346.69499696],67.57015148231237,0.22821576763485477,190,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4857.81866203],67.09705192266628,0.7261410788381744,191,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4863.87128496],67.12039823471437,0.7261410788381744,192,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4858.21803584],67.12744263237721,0.7261410788381744,193,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4858.36620117],67.13530615869331,0.7261410788381744,194,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4871.0736182],67.14281677927589,0.7261410788381744,195,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4842.94047202],67.17418856402496,0.7468879668049793,196,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4865.30035973],67.1417615972478,0.7261410788381744,197,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4868.03764179],67.16028196898594,0.7261410788381744,198,Sharper_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4845.41319429],67.16409260481271,0.7261410788381744,199,Sharper_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3357.64004592],71.99080730030184,3.1431535269709543,2,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3320.95451275],72.05860265071124,2.8319502074688794,20,Tester_Image
R1_BLUR_LENS__Sharper_Image,Blurry,[4870.83549476],67.15755078029375,0.7261410788381744,200,Sharper_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3324.80913444],72.06289114821318,3.1431535269709543,21,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3317.78512317],72.06091094139116,2.873443983402489,22,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3322.70453962],72.06287475864984,2.8319502074688794,23,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3331.32910249],72.06578602782108,3.1016597510373445,24,Tester_Image
